Sample in Buffer,Sample in Window,TRIGGER,data_out_valid,data_out_Q[15:0],data_out_I[15:0],out_valid,div[15:0],yq[17:0],yi[17:0],fir_data_Q[15:0],fir_data_I[15:0],adc_valid,adc_data_q1[11:0],adc_data_i1[11:0],w[15:0],e[15:0],u[15:0],fifo3_data_Q[15:0],fifo3_data_I[8:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,HEX
0,0,0,0,-4174,4093,0,1961,14585,-15267,-11784,-17790,0,-1049,284,16333,0,28548,24117,03d
1,1,0,0,-4174,4093,0,1961,14585,-15267,-6855,-19543,1,-1003,609,16333,0,28548,19506,1b0
2,2,0,0,-4174,4093,0,1961,14585,-15267,-6855,-19543,0,-1003,609,16333,0,28548,19506,1b0
3,3,0,0,-4174,4093,0,1961,14585,-15267,-1246,-20921,1,-965,888,16333,0,28548,19506,1b0
4,4,0,0,-4174,4093,0,1961,14585,-15267,-1246,-20921,0,-965,888,16333,0,28548,19506,1b0
5,5,0,0,-4174,4093,1,1961,14585,-15267,4328,-21631,1,-951,1110,16333,9942,28548,10190,170
6,6,0,0,-4174,4093,1,1961,14585,-15267,4328,-21631,0,-951,1110,16333,9942,28548,10190,170
7,7,0,0,-4174,4093,1,1961,14585,-15267,9134,-21407,1,-970,1277,16333,9942,28548,10190,170
8,8,0,0,-4174,4093,1,1961,14585,-15267,9134,-21407,0,-970,1277,16333,9942,28548,10190,170
9,9,0,1,-4174,4093,0,1961,14585,-15267,12525,-20052,1,-1024,1394,16333,9942,28752,-1489,1b2
10,10,0,0,-4174,4093,0,1961,14585,-15267,12525,-20052,0,-1024,1394,16333,9942,28752,-1489,1b2
11,11,0,0,4715,-4893,0,1961,14585,-15267,14038,-17476,1,-1107,1464,16333,9942,28752,-1489,1b2
12,12,0,0,4715,-4893,0,1961,14585,-15267,14038,-17476,0,-1107,1464,16333,9942,28752,-1489,1b2
13,13,0,0,4715,-4893,0,1961,-15922,16295,13467,-13728,1,-1206,1490,16422,0,28752,-11950,0e6
14,14,0,0,4715,-4893,0,1961,-15922,16295,13467,-13728,0,-1206,1490,16422,0,28752,-11950,0e6
15,15,0,0,4715,-4893,0,1961,-15922,16295,10893,-9004,1,-1301,1477,16422,0,28752,-11950,0e6
16,16,0,0,4715,-4893,0,1961,-15922,16295,10893,-9004,0,-1301,1477,16422,0,28752,-11950,0e6
17,17,0,0,4715,-4893,0,1961,-15922,16295,6682,-3642,1,-1365,1429,16422,0,28956,-17369,1c4
18,18,0,0,4715,-4893,0,1961,-15922,16295,6682,-3642,0,-1365,1429,16422,0,28956,-17369,1c4
19,19,0,0,4715,-4893,0,1961,-15922,16295,1437,1908,1,-1371,1347,16422,0,28956,-17369,1c4
20,20,0,0,4715,-4893,0,1961,-15922,16295,1437,1908,0,-1371,1347,16422,0,28956,-17369,1c4
21,21,0,0,4715,-4893,1,1961,-15922,16295,-4095,7132,1,-1297,1223,16422,-16874,28956,-15425,1bc
22,22,0,0,4715,-4893,1,1961,-15922,16295,-4095,7132,0,-1297,1223,16422,-16874,28956,-15425,1bc
23,23,0,0,4715,-4893,1,1961,-15922,16295,-9124,11517,1,-1123,1041,16422,-16874,28956,-15425,1bc
24,24,0,0,4715,-4893,1,1961,-15922,16295,-9124,11517,0,-1123,1041,16422,-16874,28956,-15425,1bc
25,25,0,1,4715,-4893,0,1961,-15922,16295,-12941,14610,1,-835,784,16422,-16874,28804,-6855,1a9
26,26,0,0,4715,-4893,0,1961,-15922,16295,-12941,14610,0,-835,784,16422,-16874,28804,-6855,1a9
27,27,0,0,4585,-4350,0,1961,-15922,16295,-15013,16086,1,-437,446,16422,-16874,28804,-6855,1a9
28,28,0,0,4585,-4350,0,1961,-15922,16295,-15013,16086,0,-437,446,16422,-16874,28804,-6855,1a9
29,29,0,0,4585,-4350,0,1961,15692,-17725,-15066,15782,1,26,48,16318,0,28804,4328,181
30,30,0,0,4585,-4350,0,1961,15692,-17725,-15066,15782,0,26,48,16318,0,28804,4328,181
31,31,0,0,4585,-4350,0,1961,15692,-17725,-13112,13729,1,475,-356,16318,0,28804,4328,181
32,32,0,0,4585,-4350,0,1961,15692,-17725,-13112,13729,0,475,-356,16318,0,28804,4328,181
33,33,0,0,4585,-4350,0,1961,15692,-17725,-9443,10139,1,834,-712,16318,0,28652,12525,1ac
34,34,0,0,4585,-4350,0,1961,15692,-17725,-9443,10139,0,834,-712,16318,0,28652,12525,1ac
35,35,0,0,4585,-4350,0,1961,15692,-17725,-4584,5379,1,1057,-986,16318,0,28652,12525,1ac
36,36,0,0,4585,-4350,0,1961,15692,-17725,-4584,5379,0,1057,-986,16318,0,28652,12525,1ac
37,37,0,0,4585,-4350,1,1961,15692,-17725,792,-73,1,1139,-1179,16318,-21796,28652,13467,060
38,38,0,0,4585,-4350,1,1961,15692,-17725,792,-73,0,1139,-1179,16318,-21796,28652,13467,060
39,39,0,0,4585,-4350,1,1961,15692,-17725,5961,-5698,1,1088,-1304,16318,-21796,28652,13467,060
40,40,0,0,4585,-4350,1,1961,15692,-17725,5961,-5698,0,1088,-1304,16318,-21796,28652,13467,060
41,41,0,1,4585,-4350,0,1961,15692,-17725,10250,-10994,1,915,-1366,16318,-21796,28916,6682,1c6
42,42,0,0,4585,-4350,0,1961,15692,-17725,10250,-10994,0,915,-1366,16318,-21796,28916,6682,1c6
43,43,0,0,4899,4277,0,1961,15692,-17725,13120,-15535,1,630,-1361,16318,-21796,28916,6682,1c6
44,44,0,0,4899,4277,0,1961,15692,-17725,13120,-15535,0,630,-1361,16318,-21796,28916,6682,1c6
45,45,0,0,4899,4277,0,1961,11711,-15409,14230,-19014,1,250,-1288,16298,0,28916,-4095,1dc
46,46,0,0,4899,4277,0,1961,11711,-15409,14230,-19014,0,250,-1288,16298,0,28916,-4095,1dc
47,47,0,0,4899,4277,0,1961,11711,-15409,13460,-21263,1,-186,-1161,16298,0,28916,-4095,1dc
48,48,0,0,4899,4277,0,1961,11711,-15409,13460,-21263,0,-186,-1161,16298,0,28916,-4095,1dc
49,49,0,0,4899,4277,0,1961,11711,-15409,10906,-22259,1,-620,-1013,16298,0,29180,-12941,112
50,50,0,0,4899,4277,0,1961,11711,-15409,10906,-22259,0,-620,-1013,16298,0,29180,-12941,112
51,51,0,0,4899,4277,0,1961,11711,-15409,6849,-22110,1,-997,-881,16298,0,29180,-12941,112
52,52,0,0,4899,4277,0,1961,11711,-15409,6849,-22110,0,-997,-881,16298,0,29180,-12941,112
53,53,0,0,4899,4277,1,1961,11711,-15409,1700,-21022,1,-1281,-797,16298,17418,29180,-15066,1a6
54,54,0,0,4899,4277,1,1961,11711,-15409,1700,-21022,0,-1281,-797,16298,17418,29180,-15066,1a6
55,55,0,0,4899,4277,1,1961,11711,-15409,-4058,-19265,1,-1462,-777,16298,17418,29180,-15066,1a6
56,56,0,0,4899,4277,1,1961,11711,-15409,-4058,-19265,0,-1462,-777,16298,17418,29180,-15066,1a6
57,57,0,1,4899,4277,0,1961,11711,-15409,-9931,-17134,1,-1543,-819,16298,0,29524,-9443,19b
58,58,0,0,4899,4277,0,1961,11711,-15409,-9931,-17134,0,-1543,-819,16298,0,29524,-9443,19b
59,59,0,0,4680,-5105,0,1961,11711,-15409,-15464,-14913,1,-1542,-910,16298,0,29524,-9443,19b
60,60,0,0,4680,-5105,0,1961,11711,-15409,-15464,-14913,0,-1542,-910,16298,0,29524,-9443,19b
61,61,0,0,4680,-5105,0,1961,-16405,-15447,-20271,-12858,1,-1481,-1024,16384,0,29524,792,1b7
62,62,0,0,4680,-5105,0,1961,-16405,-15447,-20271,-12858,0,-1481,-1024,16384,0,29524,792,1b7
63,63,0,0,4680,-5105,0,1961,-16405,-15447,-24048,-11173,1,-1384,-1133,16384,0,29524,792,1b7
64,64,0,0,4680,-5105,0,1961,-16405,-15447,-24048,-11173,0,-1384,-1133,16384,0,29524,792,1b7
65,65,0,0,4680,-5105,0,1961,-16405,-15447,-26582,-10012,1,-1276,-1206,16384,0,29868,10250,10e
66,66,0,0,4680,-5105,0,1961,-16405,-15447,-26582,-10012,0,-1276,-1206,16384,0,29868,10250,10e
67,67,0,0,4680,-5105,0,1961,-16405,-15447,-27739,-9472,1,-1178,-1218,16384,0,29868,10250,10e
68,68,0,0,4680,-5105,0,1961,-16405,-15447,-27739,-9472,0,-1178,-1218,16384,0,29868,10250,10e
69,69,0,0,4680,-5105,1,1961,-16405,-15447,-27464,-9594,1,-1107,-1149,16384,8158,29868,14230,1ba
70,70,0,0,4680,-5105,1,1961,-16405,-15447,-27464,-9594,0,-1107,-1149,16384,8158,29868,14230,1ba
71,71,0,0,4680,-5105,1,1961,-16405,-15447,-25769,-10367,1,-1070,-993,16384,8158,29868,14230,1ba
72,72,0,0,4680,-5105,1,1961,-16405,-15447,-25769,-10367,0,-1070,-993,16384,8158,29868,14230,1ba
73,73,0,1,4680,-5105,0,1961,-16405,-15447,-22744,-11725,1,-1065,-753,16384,-12946,29868,10906,10d
74,74,0,0,4680,-5105,0,1961,-16405,-15447,-22744,-11725,0,-1065,-753,16384,-12946,29868,10906,10d
75,75,0,0,4190,-4289,0,1961,-16405,-15447,-18552,-13551,1,-1081,-445,16384,-12946,29868,10906,10d
76,76,0,0,4190,-4289,0,1961,-16405,-15447,-18552,-13551,0,-1081,-445,16384,-12946,29868,10906,10d
77,77,0,0,4190,-4289,0,1961,14133,-14914,-13443,-15672,1,-1108,-94,16333,0,29868,1700,1e2
78,78,0,0,4190,-4289,0,1961,14133,-14914,-13443,-15672,0,-1108,-94,16333,0,29868,1700,1e2
79,79,0,0,4190,-4289,0,1961,14133,-14914,-7749,-17866,1,-1135,268,16333,0,29868,1700,1e2
80,80,0,0,4190,-4289,0,1961,14133,-14914,-7749,-17866,0,-1135,268,16333,0,29868,1700,1e2
81,81,0,0,4190,-4289,0,1961,14133,-14914,-1882,-19871,1,-1151,606,16333,0,29868,-9931,112
82,82,0,0,4190,-4289,0,1961,14133,-14914,-1882,-19871,0,-1151,606,16333,0,29868,-9931,112
83,83,0,0,4190,-4289,0,1961,14133,-14914,3688,-21399,1,-1149,894,16333,0,29868,-9931,112
84,84,0,0,4190,-4289,0,1961,14133,-14914,3688,-21399,0,-1149,894,16333,0,29868,-9931,112
85,85,0,0,4190,-4289,1,1961,14133,-14914,8475,-22166,1,-1130,1120,16333,15082,29868,-20271,1c6
86,86,0,0,4190,-4289,1,1961,14133,-14914,8475,-22166,0,-1130,1120,16333,15082,29868,-20271,1c6
87,87,0,0,4190,-4289,1,1961,14133,-14914,12024,-21921,1,-1096,1288,16333,15082,29868,-20271,1c6
88,88,0,0,4190,-4289,1,1961,14133,-14914,12024,-21921,0,-1096,1288,16333,15082,29868,-20271,1c6
89,89,0,1,4190,-4289,0,1961,14133,-14914,13973,-20490,1,-1049,1407,16333,15082,30072,-26582,0e4
90,90,0,0,4190,-4289,0,1961,14133,-14914,13973,-20490,0,-1049,1407,16333,15082,30072,-26582,0e4
91,91,0,0,-4731,4716,0,1961,14133,-14914,14111,-17807,1,-994,1484,16333,15082,30072,-26582,0e4
92,92,0,0,-4731,4716,0,1961,14133,-14914,14111,-17807,0,-994,1484,16333,15082,30072,-26582,0e4
93,93,0,0,-4731,4716,0,1961,-15502,16250,12417,-13941,1,-939,1522,16442,0,30072,-27464,086
94,94,0,0,-4731,4716,0,1961,-15502,16250,12417,-13941,0,-939,1522,16442,0,30072,-27464,086
95,95,0,0,-4731,4716,0,1961,-15502,16250,9086,-9104,1,-898,1519,16442,0,30072,-27464,086
96,96,0,0,-4731,4716,0,1961,-15502,16250,9086,-9104,0,-898,1519,16442,0,30072,-27464,086
97,97,0,0,-4731,4716,0,1961,-15502,16250,4518,-3647,1,-880,1474,16442,0,30276,-22744,033
98,98,0,0,-4731,4716,0,1961,-15502,16250,4518,-3647,0,-880,1474,16442,0,30276,-22744,033
99,99,0,0,-4731,4716,0,1961,-15502,16250,-716,1972,1,-890,1386,16442,0,30276,-22744,033
100,100,1,0,-4731,4716,0,1961,-15502,16250,-716,1972,0,-890,1386,16442,0,30276,-22744,033
101,101,0,0,-4731,4716,1,1961,-15502,16250,-5945,7235,1,-937,1245,16442,-3880,30276,-13443,0c8
102,102,0,0,-4731,4716,1,1961,-15502,16250,-5945,7235,0,-937,1245,16442,-3880,30276,-13443,0c8
103,103,0,0,-4731,4716,1,1961,-15502,16250,-10482,11622,1,-1030,1045,16442,-3880,30276,-13443,0c8
104,104,0,0,-4731,4716,1,1961,-15502,16250,-10482,11622,0,-1030,1045,16442,-3880,30276,-13443,0c8
105,105,0,1,-4731,4716,0,1961,-15502,16250,-13718,14678,1,-1163,787,16442,-3880,30044,-1882,061
106,106,0,0,-4731,4716,0,1961,-15502,16250,-13718,14678,0,-1163,787,16442,-3880,30044,-1882,061
107,107,0,0,-4340,3781,0,1961,-15502,16250,-15213,16075,1,-1315,480,16442,-3880,30044,-1882,061
108,108,0,0,-4340,3781,0,1961,-15502,16250,-15213,16075,0,-1315,480,16442,-3880,30044,-1882,061
109,109,0,0,-4340,3781,0,1961,14392,-18615,-14759,15658,1,-1452,141,16368,0,30044,8475,16a
110,110,0,0,-4340,3781,0,1961,14392,-18615,-14759,15658,0,-1452,141,16368,0,30044,8475,16a
111,111,0,0,-4340,3781,0,1961,14392,-18615,-12412,13469,1,-1547,-202,16368,0,30044,8475,16a
112,112,0,0,-4340,3781,0,1961,14392,-18615,-12412,13469,0,-1547,-202,16368,0,30044,8475,16a
113,113,0,0,-4340,3781,0,1961,14392,-18615,-8490,9745,1,-1577,-519,16368,0,29812,13973,1f6
114,114,0,0,-4340,3781,0,1961,14392,-18615,-8490,9745,0,-1577,-519,16368,0,29812,13973,1f6
